Date,Start Time,Duration,Value,Edit Code,Flow Direction,TOU
8/26/2014,7:00 AM,60,0.405,Direct,,NoTOU
8/26/2014,8:00 AM,60,0.265,Direct,,NoTOU
8/26/2014,9:00 AM,60,0.27,Direct,,NoTOU
8/26/2014,10:00 AM,60,0.26,Direct,,NoTOU
8/26/2014,11:00 AM,60,0.24,Direct,,NoTOU
8/26/2014,12:00 PM,60,0.265,Direct,,NoTOU
8/26/2014,1:00 PM,60,0.26,Direct,,NoTOU
8/26/2014,2:00 PM,60,0.265,Direct,,NoTOU
8/26/2014,3:00 PM,60,0.255,Direct,,NoTOU
8/26/2014,4:00 PM,60,0.25,Direct,,NoTOU
8/26/2014,5:00 PM,60,0.29,Direct,,NoTOU
8/26/2014,6:00 PM,60,1.195,Direct,,NoTOU
8/26/2014,7:00 PM,60,0.815,Direct,,NoTOU
8/26/2014,8:00 PM,60,0.26,Direct,,NoTOU
8/26/2014,9:00 PM,60,0.475,Direct,,NoTOU
8/26/2014,10:00 PM,60,0.585,Direct,,NoTOU
8/26/2014,11:00 PM,60,0.655,Direct,,NoTOU
8/27/2014,12:00 AM,60,0.775,Direct,,NoTOU
8/27/2014,1:00 AM,60,0.62,Direct,,NoTOU
8/27/2014,2:00 AM,60,0.595,Direct,,NoTOU
8/27/2014,3:00 AM,60,0.385,Direct,,NoTOU
8/27/2014,4:00 AM,60,0.29,Direct,,NoTOU
8/27/2014,5:00 AM,60,0.34,Direct,,NoTOU
8/27/2014,6:00 AM,60,0.305,Direct,,NoTOU
8/27/2014,7:00 AM,60,0.39,Direct,,NoTOU
8/27/2014,8:00 AM,60,0.28,Direct,,NoTOU
8/27/2014,9:00 AM,60,0.24,Direct,,NoTOU
8/27/2014,10:00 AM,60,0.235,Direct,,NoTOU
8/27/2014,11:00 AM,60,0.25,Direct,,NoTOU
8/27/2014,12:00 PM,60,0.25,Direct,,NoTOU
8/27/2014,1:00 PM,60,0.24,Direct,,NoTOU
8/27/2014,2:00 PM,60,0.3,Direct,,NoTOU
8/27/2014,3:00 PM,60,0.315,Direct,,NoTOU
8/27/2014,4:00 PM,60,0.265,Direct,,NoTOU
8/27/2014,5:00 PM,60,0.265,Direct,,NoTOU
8/27/2014,6:00 PM,60,0.315,Direct,,NoTOU
8/27/2014,7:00 PM,60,0.295,Direct,,NoTOU
8/27/2014,8:00 PM,60,0.365,Direct,,NoTOU
8/27/2014,9:00 PM,60,0.725,Direct,,NoTOU
8/27/2014,10:00 PM,60,0.52,Direct,,NoTOU
8/27/2014,11:00 PM,60,0.385,Direct,,NoTOU
8/28/2014,12:00 AM,60,0.325,Direct,,NoTOU
8/28/2014,1:00 AM,60,0.31,Direct,,NoTOU
8/28/2014,2:00 AM,60,0.315,Direct,,NoTOU
8/28/2014,3:00 AM,60,0.315,Direct,,NoTOU
8/28/2014,4:00 AM,60,0.31,Direct,,NoTOU
8/28/2014,5:00 AM,60,0.305,Direct,,NoTOU
8/28/2014,6:00 AM,60,0.285,Direct,,NoTOU
8/28/2014,7:00 AM,60,0.355,Direct,,NoTOU
8/28/2014,8:00 AM,60,0.3,Direct,,NoTOU
8/28/2014,9:00 AM,60,0.3,Direct,,NoTOU
8/28/2014,10:00 AM,60,0.345,Direct,,NoTOU
8/28/2014,11:00 AM,60,0.335,Direct,,NoTOU
8/28/2014,12:00 PM,60,0.27,Direct,,NoTOU
8/28/2014,1:00 PM,60,0.25,Direct,,NoTOU
8/28/2014,2:00 PM,60,0.245,Direct,,NoTOU
8/28/2014,3:00 PM,60,0.25,Direct,,NoTOU
8/28/2014,4:00 PM,60,0.245,Direct,,NoTOU
8/28/2014,5:00 PM,60,0.26,Direct,,NoTOU
8/28/2014,6:00 PM,60,0.285,Direct,,NoTOU
8/28/2014,7:00 PM,60,0.27,Direct,,NoTOU
8/28/2014,8:00 PM,60,0.46,Direct,,NoTOU
8/28/2014,9:00 PM,60,0.545,Direct,,NoTOU
8/28/2014,10:00 PM,60,0.665,Direct,,NoTOU
8/28/2014,11:00 PM,60,1.065,Direct,,NoTOU
8/29/2014,12:00 AM,60,1.205,Direct,,NoTOU
8/29/2014,1:00 AM,60,0.585,Direct,,NoTOU
8/29/2014,2:00 AM,60,0.425,Direct,,NoTOU
8/29/2014,3:00 AM,60,0.47,Direct,,NoTOU
8/29/2014,4:00 AM,60,0.4,Direct,,NoTOU
8/29/2014,5:00 AM,60,0.315,Direct,,NoTOU
8/29/2014,6:00 AM,60,0.29,Direct,,NoTOU
8/29/2014,7:00 AM,60,0.385,Direct,,NoTOU
8/29/2014,8:00 AM,60,0.24,Direct,,NoTOU
8/29/2014,9:00 AM,60,0.245,Direct,,NoTOU
8/29/2014,10:00 AM,60,0.245,Direct,,NoTOU
8/29/2014,11:00 AM,60,0.24,Direct,,NoTOU
8/29/2014,12:00 PM,60,0.24,Direct,,NoTOU
8/29/2014,1:00 PM,60,0.25,Direct,,NoTOU
8/29/2014,2:00 PM,60,0.25,Direct,,NoTOU
8/29/2014,3:00 PM,60,0.255,Direct,,NoTOU
8/29/2014,4:00 PM,60,0.24,Direct,,NoTOU
8/29/2014,5:00 PM,60,0.505,Direct,,NoTOU
8/29/2014,6:00 PM,60,0.3,Direct,,NoTOU
8/29/2014,7:00 PM,60,0.285,Direct,,NoTOU
8/29/2014,8:00 PM,60,2.77,Direct,,NoTOU
8/29/2014,9:00 PM,60,3.4,Direct,,NoTOU
8/29/2014,10:00 PM,60,0.875,Direct,,NoTOU
8/29/2014,11:00 PM,60,0.865,Direct,,NoTOU
8/30/2014,12:00 AM,60,0.355,Direct,,NoTOU
8/30/2014,1:00 AM,60,0.305,Direct,,NoTOU
8/30/2014,2:00 AM,60,0.255,Direct,,NoTOU
8/30/2014,3:00 AM,60,0.245,Direct,,NoTOU
8/30/2014,4:00 AM,60,0.26,Direct,,NoTOU
8/30/2014,5:00 AM,60,0.25,Direct,,NoTOU
8/30/2014,6:00 AM,60,0.415,Direct,,NoTOU
8/30/2014,7:00 AM,60,0.33,Direct,,NoTOU
8/30/2014,8:00 AM,60,0.155,Direct,,NoTOU
8/30/2014,9:00 AM,60,0.12,Direct,,NoTOU
8/30/2014,10:00 AM,60,0.1,Direct,,NoTOU
8/30/2014,11:00 AM,60,0.115,Direct,,NoTOU
8/30/2014,12:00 PM,60,0.12,Direct,,NoTOU
8/30/2014,1:00 PM,60,0.19,Direct,,NoTOU
8/30/2014,2:00 PM,60,0.155,Direct,,NoTOU
8/30/2014,3:00 PM,60,0.14,Direct,,NoTOU
8/30/2014,4:00 PM,60,0.13,Direct,,NoTOU
8/30/2014,5:00 PM,60,0.12,Direct,,NoTOU
8/30/2014,6:00 PM,60,0.125,Direct,,NoTOU
8/30/2014,7:00 PM,60,0.14,Direct,,NoTOU
8/30/2014,8:00 PM,60,0.13,Direct,,NoTOU
8/30/2014,9:00 PM,60,0.13,Direct,,NoTOU
8/30/2014,10:00 PM,60,0.135,Direct,,NoTOU
8/30/2014,11:00 PM,60,0.14,Direct,,NoTOU
8/31/2014,12:00 AM,60,0.12,Direct,,NoTOU
8/31/2014,1:00 AM,60,0.135,Direct,,NoTOU
8/31/2014,2:00 AM,60,0.135,Direct,,NoTOU
